StudyDescription	Modality	platform	frequency
CT ANGIO THORAX	CT, nan	IDC,TCIA	2
CT ANGIO LIVER WITH CH	SEG, nan	IDC,TCIA	2
CT Chest w/ Contrast	SEG, nan	IDC,TCIA	2
CT Chest w/ contrast	CT, nan	IDC,TCIA	2
CT Chest w/o	CT, nan	IDC,TCIA	2
CT Chest withBH	CT, nan	IDC,TCIA	2
CT Chest/Neck	CT, nan	IDC,TCIA	2
CT Chest without Contrast - Routine	CT	MIDRC	2
CT ANGIO CHEST/ABDOMEN/PELVIS-BODY	CT, nan	IDC,TCIA	2
CT ANGIO CHEST WITH AND WITHOUT CONTRAST	CT	MIDRC	2
CT Chest-w/wo Contrast	CT, nan	IDC,TCIA	2
CT Chest/Abdomen W/ Co	CT, nan	IDC,TCIA	2
CT ANGIO BRAIN/NECK FOR STROKE (INC 3D POST-PROCESSING AND PERF)	CT	MIDRC	2
CT HEAD (BRAIN LAB) WO CONTRAST POST OP	CT	MIDRC	2
CT ABDOMEN/PELVIS WITH AND WITHOUT CONTRAST (S)	CT	MIDRC	2
CT HEAD W CON	CT, nan	IDC,TCIA	2
CT LOWER EXTREMITY WITH CONTRAST RIGHT	CT, nan	IDC,TCIA	2
CT LIMITED OR LOCALIZE	SEG, nan	IDC,TCIA	2
CT LIMITED OR LOCALIZED F/U	CT, nan	IDC,TCIA	2
CT LIVER CAP	SEG, nan	IDC,TCIA	2
CT LOCALIZATION WITH BIOPSY	CT, nan	IDC,TCIA	2
CT LOW-DOSE LUNG CANCER SCREEN	CT	MIDRC	2
CT LOWER EXTREMITY WITH CONTRAST LEFT	CT, nan	IDC,TCIA	2
CT LT LOWER EXTREMITY WITH IV CONTRAST	CT	MIDRC	2
CT LEVEL 1-2 SPINE THORACIC LUMBAR REFORMATS W ED TRAUMA	CT	MIDRC	2
CT LUMBAR SPINE NERVE BLOCK MULTI LEVEL	CT	MIDRC	2
CT LUMBAR SPINE WO IV CONTRAST	CT	MIDRC	2
CT ABDOMEN WO+W CONTRAST	RTSTRUCT, nan	IDC,TCIA	2
CT ABDOMEN WO CONTR	CT, nan	IDC,TCIA	2
CT MAXILLOFACIAL WITHOUT CONTRAST	CT	MIDRC	2
CT NECK ,THORAX	CT, nan	IDC,TCIA	2
CT ABDOMEN WWO CONTRAST (ADRENALS)	CT	MIDRC	2
CT LEVEL 1-2 HEAD WO ED TRAUMA	CT	MIDRC	2
CT ABDOMEN/PELVIS WITH AND WITHOUT CONTRAST	CT	MIDRC	2
CT HEART W CONTRAST- LEFT ATRIUM AND PULMONARY VEINS	CT	MIDRC	2
CT ABDOMEN/PELVIS WC	CT, nan	IDC,TCIA	2
CT HEAD WITH I	CT, nan	IDC,TCIA	2
CT ABDOMEN/PELVIS W IV AND ORAL CONTRAST	RTSTRUCT, nan	IDC,TCIA	2
CT ABDOMEN/PELVIS	CT, nan	IDC,TCIA	2
CT ABDOMEN-PELVIS WITH CONTRAST	CT, nan	IDC,TCIA	2
CT HEART W CONTRAST 3D CONGENITAL HEART DISEASE	CT	MIDRC	2
CT ABDOMEN, W	CT, nan	IDC,TCIA	2
CT LEVEL 1-2 CERVICAL SPINE WO ED TRAUMA	CT	MIDRC	2
CT ABDOMEN+PELVIS WO+W CONTRAST	RTSTRUCT, nan	IDC,TCIA	2
CT Head	CT, nan	IDC,TCIA	2
CT ABDOMEN+PELVIS W CONTRAST	RTSTRUCT, nan	IDC,TCIA	2
CT ABDOMEN wo Lmtd	CT, nan	IDC,TCIA	2
CT L-SPINE W/O IV CONTRAST	CT	MIDRC	2
CT LEFT FEMUR WITH	CT, nan	IDC,TCIA	2
JHN CHEST PE OP	CT	MIDRC	2
FDG5AFOV TORSO	SEG, nan	IDC,TCIA	2
MR BREAST BIL W AND WO GAD	MR	ACRdart,IDC	2
LT.  BREAST	MR, nan	IDC,TCIA	2
LUNF	SEG, nan	IDC,TCIA	2
MR PEDIATRIC RAPID BRAIN WITHOUT CONTRAST	MR	MIDRC	2
MG Tomo Mammo Digital Screening Bilat	MG	ACRdart,IDC	2
B CT NON-INFUSED CHEST	SEG, nan	IDC,TCIA	2
CAP/LIVER	CT, nan	IDC,TCIA	2
B  MRI THIGH C- LEFT	MR, nan	IDC,TCIA	2
LT. BREAST	MR, nan	IDC,TCIA	2
All Other Initial Soli	SEG, nan	IDC,TCIA	2
BREST/PRONE	SEG, nan	IDC,TCIA	2
AgilityN Treatme:Tx Plan	CT, nan	IDC,TCIA	2
MR PELVIS WITH CONTRAST	RTSTRUCT, nan	IDC,TCIA	2
MR PELVIS WITH INTRACAVITY COIL WITHOUT CONTRAST	MR, nan	IDC,TCIA	2
BREAST^lesion evaluation	SEG, nan	IDC,TCIA	2
Abdomen^UROGRAM (Adult)	CT, nan	IDC,TCIA	2
MR Prostate	MR, nan	IDC,TCIA	2
LT LUNG	CT	IDC	2
LUNG BX	CT, nan	IDC,TCIA	2
MG Screen Bilat w/Tomo/CAD Stnd Protocol	MG	ACRdart	2
MR jamy brzusznej	RTSTRUCT, nan	IDC,TCIA	2
MR BREAST WO/W CONT #6657	MR, SEG	IDC	2
LUNG RESTG	SEG, nan	IDC,TCIA	2
MBUI	MR	IDC	2
LUNG RESTAG	SEG, nan	IDC,TCIA	2
BRST UNI RT SCREENING MAMMO W/ TOMO	MG	ACRdart	2
MR LT BREAST 6667	MR, nan	IDC,TCIA	2
B MRI-LT THIGH	RTSTRUCT, nan	IDC,TCIA	2
CAP W/CON	SEG, nan	IDC,TCIA	2
B MRI-LT KNEE	RTSTRUCT, nan	IDC,TCIA	2
B KNEE RT	MR, nan	IDC,TCIA	2
MR LT BREAST WO/W CONT/6667	MR, nan	IDC,TCIA	2
MR LUMBAR SPINE WITH AND WITHOUT CONTRAST	MR	MIDRC	2
CAP W/WO CON	CT, nan	IDC,TCIA	2
B MRI THIGH C+- LEFT	MR, nan	IDC,TCIA	2
CAP WITH CONTRAST	SEG, nan	IDC,TCIA	2
MR LUMBAR SPINE WITHOUT CONTRAST (S)	MR	MIDRC	2
LUNG CA  ACRIN	PT, nan	IDC,TCIA	2
LT FLANK PAIN	CT, nan	IDC,TCIA	2
LT BRST STUDY	MR, nan	IDC,TCIA	2
MG-POST PROCEDURE MAMMO	MG	ACRdart,IDC	2
Abdomen^STONES (Adult)	CT, nan	IDC,TCIA	2
LEFT   BREAST	MR, nan	IDC,TCIA	2
BREAST^CE BREAST	MR, nan	IDC,TCIA	2
MR - JB I PRZ. Z	RTSTRUCT, nan	IDC,TCIA	2
L5	CT, nan	IDC,TCIA	2
L4	CT, nan	IDC,TCIA	2
L2	SEG, nan	IDC,TCIA	2
L1	CT, nan	IDC,TCIA	2
MR 6667 BREAST W/WO CONTRAST	MR, nan	IDC,TCIA	2
LSSPINE	SEG, nan	IDC,TCIA	2
L-SPINE^ROUTINE	MR	MIDRC	2
BREAST^BIOPSY BREAST	MR, nan	IDC,TCIA	2
MR SHOULDER RIGHT WO CONTRAST	MR	MIDRC	2
MR AB ANGIO	MR, nan	IDC,TCIA	2
CARDIAC TRIPLE RULE OUT OP	CT	MIDRC	2
KT miednicy mniejszej - bad z kontrastem	RTSTRUCT, nan	IDC,TCIA	2
MR TOTAL SPINE WITHOUT CONTRAST	MR	MIDRC	2
MM US LT BREAST	US	ACRdart	2
MR RT BREAST WO/W CONT/6667	MR, nan	IDC,TCIA	2
BREAST^RESEARCH	MR	ACRdart	2
MR RT BREAST WO/W CONT 6667	MR, nan	IDC,TCIA	2
LIVER/PELVIS	SEG, nan	IDC,TCIA	2
LIVER/C AP	SEG, nan	IDC,TCIA	2
LIVER/C A P	SEG, nan	IDC,TCIA	2
LIVER/C A  P	SEG, nan	IDC,TCIA	2
LIVER//CHEST	SEG, nan	IDC,TCIA	2
MR RECTUM (SCH)	SEG, nan	IDC,TCIA	2
LIVER// C A P	SEG, nan	IDC,TCIA	2
MR RENAL PROTOCOL W/O CONTRAST	MR, nan	IDC,TCIA	2
MR RT BREAST BOLD	MR, nan	IDC,TCIA	2
LIMITED EOVIST MRI HCC	MR	MIDRC	2
MM Mammogram Diagnostic DDI Bilat	MG	ACRdart,IDC	2
MR RT BREAST WO/W CONT	MR, nan	IDC,TCIA	2
LEFT MAMMO DIGITAL DIAGNOSTIC	MG	ACRdart,IDC	2
LEFT LUNG	RTSTRUCT, CT	IDC	2
LEFT KNEE/FEMUR	MR, nan	IDC,TCIA	2
LUNG SCAN QUANT PERFUSION	NM, nan	IDC,TCIA	2
BRZUCH TRZUSTKA	RTSTRUCT, nan	IDC,TCIA	2
MR LOWER EXTREMITY ANY JOINT WITH AND WITHOUT CONTRAST RIGHT	MR, nan	IDC,TCIA	2
BILAT BREAT	MR, nan	IDC,TCIA	2
MAMMO TOMOGRAM DIAGNOSTIC  RIGHT	MG	ACRdart	2
BILAT BRST	MR, nan	IDC,TCIA	2
MAMMO DIAGNOSTIC BREAST TOMOSYNTHESIS LEFT	MG, nan	IDC,TCIA	2
MAMMO TOMOGRAPHY DIAGNOSTIC  RIGHT	MG	ACRdart,IDC	2
MR Breast Bilat Implant WWO Contrast	MR	ACRdart	2
MR CholangoPancreagram with without Contrast	RTSTRUCT, nan	IDC,TCIA	2
MAMMO US GUIDED BREAST BX LT	MG	ACRdart,IDC	2
MAMMO US GUIDED BREAST BX RT	MG	ACRdart,IDC	2
MAMMAE	MR, nan	IDC,TCIA	2
CALCIUM SCORING HI HR(Adult)	CT	MIDRC	2
Breast Ultrasound	US	ACRdart	2
Breast Bil tumor ax	MR, nan	IDC,TCIA	2
MAMMO diagnostic digital left	MG, nan	IDC,TCIA	2
Brain Tumor	MR, nan	IDC,TCIA	2
Biopsy_Lung	DX, nan	IDC,TCIA	2
CAMRIS^PELVIS RESEARCH	MR	ACRdart	2
MR CERVICAL SPINE WITHOUT CONTRAST (S)	MR	MIDRC	2
C/A/P W/WO  RENAL	SEG, nan	IDC,TCIA	2
C/A/P POST	SEG, nan	IDC,TCIA	2
BILAT/ATTN LEFT BREAST	MR, nan	IDC,TCIA	2
C.3D	CT, nan	IDC,TCIA	2
C/A/P	SEG, nan	IDC,TCIA	2
C-SP Chest	CT, nan	IDC,TCIA	2
MAMMO SCREENING BILATERAL	MG	ACRdart,IDC	2
BLADDER EMPTY	CT, nan	IDC,TCIA	2
C/A/P LIVER PROTOCOL	SEG, nan	IDC,TCIA	2
C-J	CT, nan	IDC,TCIA	2
BILATERAL BREAST	MR, nan	IDC,TCIA	2
C-A-P/ LIVER PROTOCOL	SEG, nan	IDC,TCIA	2
C-A-P NO IV CONTRAST	CT, nan	IDC,TCIA	2
C-A-P	SEG, nan	IDC,TCIA	2
C SPINE AND T SPINE	SEG, nan	IDC,TCIA	2
BLADDER FULL	CT, nan	IDC,TCIA	2
MAMMO DIAGNOSTIC W OR WO CAD RT	MG	ACRdart,IDC	2
MAMMO DIAGNOSTIC DIGITAL RIGHT	MG, nan	IDC,TCIA	2
MAMMO - SELF REFERRAL SCREENING TOMO	MG	ACRdart,IDC	2
CAP -LIVER	SEG, nan	IDC,TCIA	2
LUNGCTA	CT, nan	IDC,TCIA	2
MR LEFT BREAST WO/W CONT 6667	MR, nan	IDC,TCIA	2
MR JAMY BRZUSZNEJ Z KONTRASTEM	RTSTRUCT, nan	IDC,TCIA	2
CAP LYM PRE/POST	SEG, nan	IDC,TCIA	2
MR JB	RTSTRUCT, nan	IDC,TCIA	2
MR KNEE LEFT WO CONTRAST	MR	MIDRC	2
MA BREAST NEDDLE LOCALIZATION	MG, nan	IDC,TCIA	2
Lung Ventilation Scan	NM, nan	IDC,TCIA	2
CAP OP	CT	MIDRC	2
CAP RENAL PRT W/WO	SEG, nan	IDC,TCIA	2
BODY/ BREAST STUDY	SEG	IDC	2
Lung Ca	SEG, nan	IDC,TCIA	2
BWH CT ABDOMEN PELVIS OUTSIDE STUDY OICTAP	CT, nan	IDC,TCIA	2
MR BREAST WO/W CONT 6667	MR, nan	IDC,TCIA	2
Lung CA	SEG, nan	IDC,TCIA	2
MR BREAST WO/W CONT (6667 - LT BREAST)	MR, nan	IDC,TCIA	2
Liver CT Enhanced	CT, nan	IDC,TCIA	2
MR BREAST WO/W CONT #6667	MR, nan	IDC,TCIA	2
CAP LIVER W/WO	SEG, nan	IDC,TCIA	2
MR HEART WITHOUT CONTRAST	MR	MIDRC	2
MR HEART WITH AND WITHOUT CONTRAST	MR	MIDRC	2
MR HEART HCM WITH AND WITHOUT CONTRAST	MR	MIDRC	2
MAMMOGRAM RAD SCREENING TO DIAGNOSTIC UNILATERAL CONVERSION	MG	ACRdart	2
Bilateral Screening Mammogram CAD+TOMO	MG	ACRdart	2
Bilateral Diagnostic With Tomo	MG	ACRdart,IDC	2
BODY/BREAST STUDY LEFT	MR, SEG	IDC	2
MAMMOGRAM UNI/LEFT DIGITAL	MG	ACRdart,IDC	2
MAM MAMMOGRAPHY SCREENING	MG	ACRdart,IDC	2
MAM MAMMOGRAPHY DIAGNOSTIC WITH TOMOSYNTHESIS LEFT	MG	ACRdart,IDC	2
MAM MAMMOGRAPHY DIAGNOSTIC WITH TOMOSYNTHESIS	MG	ACRdart,IDC	2
BI-LATERAL BREASTS	MR, nan	IDC,TCIA	2
BI BREAST DIAGNOSTIC LEFT WITH TOMOSYNTHESIS	MG	ACRdart,IDC	2
BCT CHEST	CT, nan	IDC,TCIA	2
BC009   CT ABDOMEN W&WO	CT, nan	IDC,TCIA	2
BAR CT ABDOMEN WITH CO	CT, nan	IDC,TCIA	2
B RT THIGH	MR, nan	IDC,TCIA	2
B MRI-PELVIS	MR, nan	IDC,TCIA	2
MR UPPER EXTREMITY NOT JOINT WITHOUT CONTRAST RIGHT	MR, nan	IDC,TCIA	2
LIVER	RTSTRUCT, nan	IDC,TCIA	2
KT KLP BEZ+CE	CT, nan	IDC,TCIA	2
BREAST MRI BIL W WO CON	MR, nan	IDC,TCIA	2
MR BODY RESEARC	MR, nan	IDC,TCIA	2
KNEE	MR	MIDRC	2
BREAST RT	MR, nan	IDC,TCIA	2
MRI ABDOMEN EXTERNAL IMAGING	RTSTRUCT, nan	IDC,TCIA	2
JHN OP CHEST WO	CT	MIDRC	2
MRI ABDOMEN W/WO CONTR	MR, nan	IDC,TCIA	2
MR BR SC HR	MR, nan	IDC,TCIA	2
MRI ABDOMEN LIVER WWO CONTRAST	MR, nan	IDC,TCIA	2
KNEE 2 VIEWS LEFT	CR, DX	MIDRC	2
MR BREAST #6667 WO/W CONT	MR, nan	IDC,TCIA	2
MR BREAST UNI E	MR	IDC	2
KNEE 3 VIEWS LEFT	CR, DX	MIDRC	2
MRI ABDOMEN W&W/O CONTRAST	MR, nan	IDC,TCIA	2
MRI ABDOMEN WITH AND WITHOUT CONTRAST	RTSTRUCT, nan	IDC,TCIA	2
BREAST WO/W CONT	MR, nan	IDC,TCIA	2
MR BRAIN WITH AND WITHOUT CONTRAST (O)	MR	MIDRC	2
MRI ,ABD W&W/O, CONT 74183	SEG, nan	IDC,TCIA	2
BRAIN/SPINE	MR, nan	IDC,TCIA	2
MRI  RT. BREAST	MR, nan	IDC,TCIA	2
MR ABDOMEN NO CONTRAST=AB	RTSTRUCT, nan	IDC,TCIA	2
KNEE LEFT 3 VIEWS (ROUTINE)	CR	MIDRC	2
BREAST 1^CE BREAST	MR, nan	IDC,TCIA	2
Abdomen^JAMA_BRZUSZNA_WIELO_FAZ (Adult)	RTSTRUCT, nan	IDC,TCIA	2
MRI ABDOMEN W&W/O CONT	MR, nan	IDC,TCIA	2
MRI ABDOMEN W/O AND WITH CONTRAST	MR, nan	IDC,TCIA	2
MRI ABDOMEN  WTHOUT CONTRAST	RTSTRUCT, nan	IDC,TCIA	2
MRI ABDOMEN	MR, nan	IDC,TCIA	2
CERVICAL	MR, nan	IDC,TCIA	2
JHN CT CHEST WO OP	CT	MIDRC	2
Abdomen^Jama_Brzuszna_3_Fazy (Adult)	RTSTRUCT, nan	IDC,TCIA	2
MRI ABD WO/W CONTRAST	RTSTRUCT, nan	IDC,TCIA	2
JOINY CT CHEST/PELVIS WITH	CT	MIDRC	2
Abdomen^KIDNEY_STONE (Adult)	RTSTRUCT, nan	IDC,TCIA	2
Abdomen^JBRZUSZNA_3FAZY_OPOZNIONE (Adult)	RTSTRUCT, nan	IDC,TCIA	2
BRAIN IMAGING (PET)	SEG, nan	IDC,TCIA	2
K-9 BRAIN	MR, nan	IDC,TCIA	2
Abdomen^J_BRZUSZNA_3_FAZY (Adult)	RTSTRUCT, nan	IDC,TCIA	2
Abdomen^KLP_JB_M (Adult)	RTSTRUCT, nan	IDC,TCIA	2
CCT- ABD [LIVER]	SEG, nan	IDC,TCIA	2
K9 SPINE	MR, nan	IDC,TCIA	2
K9 SRS FULL BRAIN	MR, nan	IDC,TCIA	2
KIDNEYS	MR, nan	IDC,TCIA	2
MRI ABDOMEN AND PELVIS WITHOUT CONTRAST	MR	MIDRC	2
KL.P BEZ I Z CE	CT, nan	IDC,TCIA	2
MR ANGIOGRAPHY ABDOMEN WITH CONTRAST	MR, nan	IDC,TCIA	2
CCT, AP LIVER	SEG, nan	IDC,TCIA	2
MR BREAST BI W/WO	MR, nan	IDC,TCIA	2
BREAST(s) ULTRA	US	ACRdart	2
BRAIN POST OP	MR, nan	IDC,TCIA	2
Abdomen^JB_3FAZY_BOLUS (Adult)	RTSTRUCT, nan	IDC,TCIA	2
BONE MINERAL DENSITY DXA AXIAL SKELETON (ROUTINE)	CR	MIDRC	2
Abdomen^J_BRZUSZNA_3FAZY_OPOZNIONA (Adult)	RTSTRUCT, nan	IDC,TCIA	2
MRI ANKLE W/O CONTRAST - LEFT	MR	MIDRC	2
MRBRUR	MR	IDC	2
MR BREAST BIL SCREENING W CONTRAST	MR	ACRdart,IDC	2
Abdomen^RENAL_PROTOCOL (Adult)	CT, nan	IDC,TCIA	2
BODY^ABDOMEN PELVIS	MR, nan	IDC,TCIA	2
Abdomen^RENAL_STONE (Adult)	CT, nan	IDC,TCIA	2
Abdomen^ROUTINE_AP_LOW_DOSE_WO__Customized (Adult)	CT	MIDRC	2
MR prostaat 3T + ERC_mc MCAPRO3T	MR, nan	IDC,TCIA	2
JK^Brzuch	RTSTRUCT, nan	IDC,TCIA	2
JOICC CT CHEST	CT	MIDRC	2
BREAST ACRIN STUDY	MR, nan	IDC,TCIA	2
BRAIN-STEROTATIC	MR, nan	IDC,TCIA	2
BREAST/PRONE	SEG, nan	IDC,TCIA	2
BRAIN W/WO CONTRAST (CT)-CS	CT	MIDRC	2
CCHST+	CT, nan	IDC,TCIA	2
MR jamy brzusznej: wielofazowo	RTSTRUCT, nan	IDC,TCIA	2
KT KLP +C	CT, nan	IDC,TCIA	2
MR prostaat stadiering PCMAPS_mc MCAPCMAPS	MR, nan	IDC,TCIA	2
JHN STNECK CAP W OP	CT	MIDRC	2
MR BREAST BILAT/SPECIAL BILLING	MR	IDC	2
JOINY CT C/A/P COMBO	CT	MIDRC	2
MRI ABDOMEN WO CONT	MR, nan	IDC,TCIA	2
MR ABDOMEN +/- CONTRAST=AB	RTSTRUCT, nan	IDC,TCIA	2
JOINE CT CHEST	CT	MIDRC	2
MRA HEART LEFT ATRIAL MAPPING WITH AND WITHOUT CONTRAST	MR	MIDRC	2
MR BREAST BIL DIAG WO W CONTRAST	MR	ACRdart,IDC	2
Abdomen^KlpBrzuchMiednica (Adult)	CT, nan	IDC,TCIA	2
MRI ABDOMEN WITHOUT CONTRAST	MR, nan	IDC,TCIA	2
Abdomen^PEDS__ABD_PEL_WITH (Child)	CT	MIDRC	2
MR ABDOMEN ENHANCED & NON-BODY	MR, nan	IDC,TCIA	2
MRA RENAL	MR, nan	IDC,TCIA	2
MR- Cholangiografia	RTSTRUCT, nan	IDC,TCIA	2
MRI ABDOMENI WO CONT	MR, nan	IDC,TCIA	2
X-RAY FOREARM 2 VIEWS - RIGHT	DX	MIDRC	1
XR LEFT RIBS 2 VIEWS UNILATERAL	CR	MIDRC	1
BODY/LEFT BREAST	SEG	IDC	1
BODY/BREAST STUDY/LEFT	MR	IDC	1
X-RAY FOREARM 2 VIEWS - LEFT	DX	MIDRC	1
CT LUMBAR PUNCTURE DIAGNOSTIC	CT	MIDRC	1
XR LUMBAR SPINE 2-3 VIEWS (AP/LAT/SPOT)	CR	MIDRC	1
XR LUMBAR SPINE 3 VIEWS	DX	MIDRC	1
BODY/BREAST RESEARCH	SEG	IDC	1
BR-Breast US_LT	US	ACRdart	1
BR-BxBreast LUS	US	ACRdart	1
CT LT LOWER EXTREMITY W/O CONTRAST	CT	MIDRC	1
3611 - 6657 RT BREAST/GAD	MR	IDC	1
MRI THIGH WITHOUT CONTRAST - RIGHT	MR	MIDRC	1
MR BREAST BILATERAL W/ OR W/O GAD	MR	ACRdart	1
XR LUMBAR SPINE 1 VIEW	CR	MIDRC	1
XR LEFT THUMB	CR	MIDRC	1
XR LEFT WRIST 1-2 VIEWS	CR	MIDRC	1
ANGIOS^GBO	MR	MIDRC	1
MR BREAST-RIGHT	MR	IDC	1
MRI UROGRAM WO/W CONTRAST	MR	MIDRC	1
CT PULMONARY EMBOLI WITH IV CONTRAST	CT	MIDRC	1
3D TOMO HD DX BI	MG	ACRdart	1
ANKLE 3 VIEWS RIGHT	DX	MIDRC	1
CT PULM VEIN OP	CT	MIDRC	1
XR LUMBAR SPINE 1 VIEW INTRAOPERATIVE	DX	MIDRC	1
BR-BxBreast RUS	US	ACRdart	1
XR PORT ABDOMEN COMPLETE DECUB & O*	CR	MIDRC	1
MR BRST BI BIRAD W/WO CNTRST	MR	ACRdart	1
XR LUMBAR SPINE WITH OBLIQUES	DX	MIDRC	1
X-RAY ENTIRE SPINE SCOLIOSIS 1 VIEW	DX	MIDRC	1
MRI SPINE - LUMBAR W/O CONTRAST FOLLOWED BY W CONTRAST	nan	TCIA	1
CT RFA LUMBAR/SACRAL NERVE/JOINT 1 LEVEL	CT	MIDRC	1
CT RT LOWER EXTREMITY WO/W IV CONTRAST	CT	MIDRC	1
X-RAY ELBOW 2 VIEWS - LEFT	DX	MIDRC	1
MR_Brain	nan	TCIA	1
XR RIGHT CLAVICLE	DX	MIDRC	1
X-RAY CLAVICLE COMPLETE - LEFT	CR	MIDRC	1
XR RIGHT ELBOW 1-2 VIEWS	CR	MIDRC	1
CT HEART WO IV CONTRAST CALCIUM SCORING	CT	MIDRC	1
CT RT UPPER EXTREMITY WO/W IV CONTRAST	CT	MIDRC	1
CT SCREENING COLONOSCOPY	CT	MIDRC	1
CT ABDOMEN PELVIS WWO	CT	MIDRC	1
X-RAY CHEST 1 VIEW, FRONTAL, portable	DX	MIDRC	1
X-RAY CHEST 1 VIEW, FRONTAL, PORTABLE	DX	MIDRC	1
XR RIGHT FEMUR 1 VIEW	CR	MIDRC	1
XR RIGHT FEMUR MIN 2 VIEWS	CR	MIDRC	1
MR Breast Bilateral w?	SEG	IDC	1
CT HEART PULMONARY VEINS STRUCTURE MORPHOLOGY WITH CONTRAST	CT	MIDRC	1
MRI SHOULDER W/ + W/O CNTRST RIGHT	MR	MIDRC	1
X-RAY CERVICAL SPINE COMPLT INCL OBL/FLX AND/OR EXT	DX	MIDRC	1
CT HRCT THORAX	CT	AIMI	1
MRI SPINE - THORACIC W/O CONTRAST FOLLOWED BY W CONTRAST	nan	TCIA	1
MRI SPINE LUMBAR WO IV CONTRAST	MR	MIDRC	1
MR Body Development Proc	MR	ACRdart	1
CT LEVEL 1-2 FACE WO ED TRAUMA	CT	MIDRC	1
XR P PORT ABDOMEN COMPLETE DECUB &*	CR	MIDRC	1
MR BRST UNI E L	SEG	IDC	1
XR PELVIS 1 VIEW ANTEROPOSTERIOR	DX	MIDRC	1
BR-SV	US	ACRdart	1
CT LEVEL 1-2 ANGIOGRAPHY NECK ED TRAUMA	CT	MIDRC	1
XR PELVIS COMPLETE MINIMUM 3 VIEWS	DX	MIDRC	1
XR PELVIS LIMITED 1 OR 2 VIEW	DX	MIDRC	1
ABD_PELVIS 61_100LB(Child)	CT	MIDRC	1
XR LEFT KNEE 4+ VIEWS	DX	MIDRC	1
CT Initial/Annual Lung Screening	CT	MIDRC	1
X-RAY FINGER(S) MINIMUM 2 VIEWS - RIGHT	DX	MIDRC	1
BODY/ BREAST	MR	IDC	1
ABD^RAPID MRCP	MR	MIDRC	1
X-RAY FACIAL BONES COMPLT MINIMUM 3 VIEWS	DX	MIDRC	1
BRAIN LAB ENT(Adult)	CT	MIDRC	1
BRAIN MRA 2.21^NEW BRAIN W WO	MR	MIDRC	1
CT L-SPINE W/O CONTRAST/BONE RECON	CT	MIDRC	1
XR RIBS BILATERAL	CR	MIDRC	1
CT ABDOMEN WWO CONTRAST (KIDNEYS)	CT	MIDRC	1
CT LUMBAR SPINE FACET BLOCK MULTI LEVEL	CT	MIDRC	1
X-RAY PELVIS COMPLETE MINIMUM 3 VIEWS	DX	MIDRC	1
BR-BX BrstCoreB	US	ACRdart	1
XR IVP W TOMOGRAMS	CR	MIDRC	1
XR FEET BILATERAL	DX	MIDRC	1
ADD VIEWS-UNILATERAL DIAGNOSTIC MAMMO-RT	MG	ACRdart	1
CT P CHEST AND UPPER ABD W	CT	MIDRC	1
3607 MR BREAST WO/W CONT & BOLD	SEG	IDC	1
3607 6657 RT BREAST WO/W CONT	MR	IDC	1
XR FOREARM (RADIUS/ULNA) LEFT	DX	MIDRC	1
BIUSGCBXUS GUIDED CORE BX	US	ACRdart	1
XR FOREARM (RADIUS/ULNA) RIGHT	DX	MIDRC	1
X-RAY WRIST 2 VIEWS - RIGHT	DX	MIDRC	1
X-RAY WRIST 2 VIEWS - LEFT	DX	MIDRC	1
X-RAY TOE(S) MINIMUM 2 VIEWS - RIGHT	CR	MIDRC	1
CT ABDOMEN W&W/O CONT	nan	TCIA	1
XR HAND LEFT (LIMITED: AP,LAT)	CR	MIDRC	1
XR HAND LEFT (ROUTINE: AP LAT OBL)	DX	MIDRC	1
CT ABDOMEN W/O CONTRAST	CT	MIDRC	1
X-RAY TIBIA & FIBULA 2 VIEWS - LEFT	DX	MIDRC	1
ADULT CHEST - 2 VIEWS	CR	MIDRC	1
X-RAY THORACOLUMBAR SPINE 2 VIEWS	DX	MIDRC	1
XR HANDS BILATERAL (1-2 VIEWS)	DX	MIDRC	1
ADULT CHEST 2 VIEW	CR	MIDRC	1
CT OUTSIDE ABDOMEN PELVIS W INTERPRETATION OR CONSULT	CT	MIDRC	1
X-RAY THORACIC SPINE 3 VIEWS	DX	MIDRC	1
CT ORBITS OPTIC NERVES WWO CONTRAST	CT	MIDRC	1
XR ELBOW RIGHT (LIMITED: AP LAT)	DX	MIDRC	1
ACRIN6666 / SV	US	ACRdart	1
3607 ACRIN 6657 LT BREAST/GAD	MR	IDC	1
3607 MR BOLD BREAST WO/W CONT	SEG	IDC	1
XR ABDOMEN SINGLE AP VIEW	CR	MIDRC	1
XR ABDOMEN SITZ MARKER	DX	MIDRC	1
XR ABDOMEN SUPINE AND ERECT	DX	MIDRC	1
XR ABDOMEN TO CHECK TUBE PLCMT	DX	MIDRC	1
XR ABDOMEN TUBE POSITION CHECK	DX	MIDRC	1
XR ANKLE 3+ VIEWS	CR	MIDRC	1
XR ANKLE LEFT (ROUTINE: AP,LAT,OBL)	DX	MIDRC	1
MR BREAST UNILAT LEFT W&WO CONT	MR	IDC	1
XR Abdomen AP	DX	MIDRC	1
CT ABDOMEN W/DYE	nan	TCIA	1
XR ABDOMEN ACUTE PORTABLE	CR	MIDRC	1
3607 LT MR BREAST WO/W CONT 6657	MR	IDC	1
3607 MR ACRIN 6657: RIGHT BREAST WO/W CONT	MR	IDC	1
BODY/RT BREAST	MR	IDC	1
3607 MR BREAST RIGHT	MR	IDC	1
